service_id,date,exception_type
TEL_JANV21-CD01-Mardi-01,20220111,2
TEL_JANV21-CD01-Mardi-01,20220118,2
TEL_JANV21-CD01-Mardi-01,20220125,2
TEL_JANV21-CD01-Mardi-01,20220201,2
TEL_JANV21-CD01-Mardi-01,20220222,2
TEL_JANV21-CD01-Mardi-01,20220301,2
TEL_JANV21-CD01-Mardi-01,20220308,2
TEL_JANV21-CD01-Mardi-01,20220315,2
TEL_JANV21-CD01-Mardi-01,20220322,2
TEL_JANV21-CD01-Mardi-01,20220329,2
TEL_JANV21-CD01-Mardi-01,20220405,2
B_SEPT21-TA07-Dimanche-06,20211225,1
B_SEPT21-TA07-Dimanche-06,20220101,1
B_SEPT21-TA07-Dimanche-06,20220418,1
B_SEPT21-TA07-Dimanche-06,20220526,1
B_SEPT21-TA07-Dimanche-06,20220606,1
TEL_JANV21-CD01-Mercredi-01,20220105,2
TEL_JANV21-CD01-Mercredi-01,20220112,2
TEL_JANV21-CD01-Mercredi-01,20220119,2
TEL_JANV21-CD01-Mercredi-01,20220126,2
TEL_JANV21-CD01-Mercredi-01,20220202,2
TEL_JANV21-CD01-Mercredi-01,20220223,2
TEL_JANV21-CD01-Mercredi-01,20220302,2
TEL_JANV21-CD01-Mercredi-01,20220309,2
TEL_JANV21-CD01-Mercredi-01,20220316,2
TEL_JANV21-CD01-Mercredi-01,20220323,2
TEL_JANV21-CD01-Mercredi-01,20220330,2
TEL_JANV21-CD01-Mercredi-01,20220406,2
B_SEPT21-TAD01-Semaine-07-1111100,20220103,2
B_SEPT21-TAD01-Semaine-07-1111100,20220104,2
B_SEPT21-TAD01-Semaine-07-1111100,20220105,2
B_SEPT21-TAD01-Semaine-07-1111100,20220106,2
B_SEPT21-TAD01-Semaine-07-1111100,20220107,2
B_SEPT21-TAD01-Semaine-07-1111100,20220110,2
B_SEPT21-TAD01-Semaine-07-1111100,20220111,2
B_SEPT21-TAD01-Semaine-07-1111100,20220112,2
B_SEPT21-TAD01-Semaine-07-1111100,20220113,2
B_SEPT21-TAD01-Semaine-07-1111100,20220114,2
B_SEPT21-TAD01-Semaine-07-1111100,20220117,2
B_SEPT21-TAD01-Semaine-07-1111100,20220118,2
B_SEPT21-TAD01-Semaine-07-1111100,20220119,2
B_SEPT21-TAD01-Semaine-07-1111100,20220120,2
B_SEPT21-TAD01-Semaine-07-1111100,20220121,2
B_SEPT21-TAD01-Semaine-07-1111100,20220124,2
B_SEPT21-TAD01-Semaine-07-1111100,20220125,2
B_SEPT21-TAD01-Semaine-07-1111100,20220126,2
B_SEPT21-TAD01-Semaine-07-1111100,20220127,2
B_SEPT21-TAD01-Semaine-07-1111100,20220128,2
B_SEPT21-TAD01-Semaine-07-1111100,20220131,2
B_SEPT21-TAD01-Semaine-07-1111100,20220201,2
B_SEPT21-TAD01-Semaine-07-1111100,20220202,2
B_SEPT21-TAD01-Semaine-07-1111100,20220203,2
B_SEPT21-TAD01-Semaine-07-1111100,20220204,2
B_SEPT21-TAD01-Semaine-07-1111100,20220221,2
B_SEPT21-TAD01-Semaine-07-1111100,20220222,2
B_SEPT21-TAD01-Semaine-07-1111100,20220223,2
B_SEPT21-TAD01-Semaine-07-1111100,20220224,2
B_SEPT21-TAD01-Semaine-07-1111100,20220225,2
B_SEPT21-TAD01-Semaine-07-1111100,20220228,2
B_SEPT21-TAD01-Semaine-07-1111100,20220301,2
B_SEPT21-TAD01-Semaine-07-1111100,20220302,2
B_SEPT21-TAD01-Semaine-07-1111100,20220303,2
B_SEPT21-TAD01-Semaine-07-1111100,20220304,2
B_SEPT21-TAD01-Semaine-07-1111100,20220307,2
B_SEPT21-TAD01-Semaine-07-1111100,20220308,2
B_SEPT21-TAD01-Semaine-07-1111100,20220309,2
B_SEPT21-TAD01-Semaine-07-1111100,20220310,2
B_SEPT21-TAD01-Semaine-07-1111100,20220311,2
B_SEPT21-TAD01-Semaine-07-1111100,20220314,2
B_SEPT21-TAD01-Semaine-07-1111100,20220315,2
B_SEPT21-TAD01-Semaine-07-1111100,20220316,2
B_SEPT21-TAD01-Semaine-07-1111100,20220317,2
B_SEPT21-TAD01-Semaine-07-1111100,20220318,2
B_SEPT21-TAD01-Semaine-07-1111100,20220321,2
B_SEPT21-TAD01-Semaine-07-1111100,20220322,2
B_SEPT21-TAD01-Semaine-07-1111100,20220323,2
B_SEPT21-TAD01-Semaine-07-1111100,20220324,2
B_SEPT21-TAD01-Semaine-07-1111100,20220325,2
B_SEPT21-TAD01-Semaine-07-1111100,20220328,2
B_SEPT21-TAD01-Semaine-07-1111100,20220329,2
B_SEPT21-TAD01-Semaine-07-1111100,20220330,2
B_SEPT21-TAD01-Semaine-07-1111100,20220331,2
B_SEPT21-TAD01-Semaine-07-1111100,20220401,2
B_SEPT21-TAD01-Semaine-07-1111100,20220404,2
B_SEPT21-TAD01-Semaine-07-1111100,20220405,2
B_SEPT21-TAD01-Semaine-07-1111100,20220406,2
B_SEPT21-TAD01-Semaine-07-1111100,20220407,2
B_SEPT21-TAD01-Semaine-07-1111100,20220408,2
B_SEPT21-TAD01-Semaine-07-1111100,20220425,2
B_SEPT21-TAD01-Semaine-07-1111100,20220426,2
B_SEPT21-TAD01-Semaine-07-1111100,20220427,2
B_SEPT21-TAD01-Semaine-07-1111100,20220428,2
B_SEPT21-TAD01-Semaine-07-1111100,20220429,2
B_SEPT21-TAD01-Semaine-07-1111100,20220502,2
B_SEPT21-TAD01-Semaine-07-1111100,20220503,2
B_SEPT21-TAD01-Semaine-07-1111100,20220504,2
B_SEPT21-TAD01-Semaine-07-1111100,20220505,2
B_SEPT21-TAD01-Semaine-07-1111100,20220506,2
B_SEPT21-TAD01-Semaine-07-1111100,20220509,2
B_SEPT21-TAD01-Semaine-07-1111100,20220510,2
B_SEPT21-TAD01-Semaine-07-1111100,20220511,2
B_SEPT21-TAD01-Semaine-07-1111100,20220512,2
B_SEPT21-TAD01-Semaine-07-1111100,20220513,2
B_SEPT21-TAD01-Semaine-07-1111100,20220516,2
B_SEPT21-TAD01-Semaine-07-1111100,20220517,2
B_SEPT21-TAD01-Semaine-07-1111100,20220518,2
B_SEPT21-TAD01-Semaine-07-1111100,20220519,2
B_SEPT21-TAD01-Semaine-07-1111100,20220520,2
B_SEPT21-TAD01-Semaine-07-1111100,20220523,2
B_SEPT21-TAD01-Semaine-07-1111100,20220524,2
B_SEPT21-TAD01-Semaine-07-1111100,20220525,2
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220106,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220107,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220113,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220114,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220120,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220121,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220127,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220128,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220203,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220204,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220224,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220225,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220303,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220304,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220310,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220311,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220317,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220318,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220324,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220325,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220331,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220401,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220407,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220408,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220428,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220429,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220505,1
B_SEPT21-A04-Jeu-Ven-00-B_SEPT21-A04-Lun-Mar-00-B_SEPT21-A04-Mercredi-00,20220506,1
